ticket_id,ticket_text,category
1,"Hello, I was charged twice this month, please refund. Please help.",Billing
2,I get an error code 500 when saving. — customer,Technical
3,"Dear support, Why was I billed after cancellation?",Billing
4,"Hi, I was charged twice this month, please refund. Please help.",Billing
5,"Hi, Why was I billed after cancellation? — customer",Billing
6,"Dear support, Would love integration with Google Drive. Thanks!",Feature Request
7,"Hi, I forgot my password and cannot login. — customer",Account
8,"Hello, Please add CSV export for reports. Please help.",Feature Request
9,Upload fails with an unknown error.,Technical
10,"Hello, Can you add dark mode to the app? ASAP.",Feature Request
11,"Hello, I can't access my account settings. ASAP.",Account
12,I want a refund for the extra payment. This is blocking me.,Billing
13,"Hello, Why was I billed after cancellation? ASAP.",Billing
14,"Hi, I can't access my account settings. — customer",Account
15,"Hi, I was charged twice this month, please refund. ASAP.",Billing
16,"Hi, I forgot my password and cannot login. ASAP.",Account
17,"Hello, I want a refund for the extra payment. This is blocking me.",Billing
18,"Hello, How can I change my subscription plan? Urgent.",Account
19,Upload fails with an unknown error. Thanks!,Technical
20,"Hi, Login throws an exception and I can't proceed. Please help.",Technical
21,"Hello, Request: allow multiple users per team. — customer",Feature Request
22,Upload fails with an unknown error. Please help.,Technical
23,"Dear support, Where can I find my billing statement? Urgent.",Billing
24,"Hello, My invoice shows the wrong amount for last month. Please help.",Billing
25,"Dear support, Request: allow multiple users per team. Please help.",Feature Request
26,"Hi, How can I change my subscription plan? — customer",Account
27,"Dear support, I can't access my account settings. Thanks!",Account
28,"Hi, Please add CSV export for reports. Please help.",Feature Request
29,Can you add dark mode to the app? ASAP.,Feature Request
30,"Hi, My invoice shows the wrong amount for last month. ASAP.",Billing
31,Add a tutorial for first-time users. This is blocking me.,Feature Request
32,"Dear support, Add a tutorial for first-time users. Thanks!",Feature Request
33,I can't access my account settings. — customer,Account
34,"Hello, Why was I billed after cancellation? ASAP.",Billing
35,"Hello, I forgot my password and cannot login. This is blocking me.",Account
36,"The feature is not responding, page freezes. — customer",Technical
37,"Hi, I can't access my account settings. Thanks!",Account
38,"Hi, Where can I find my billing statement? Please help.",Billing
39,How can I change my subscription plan? Thanks!,Account
40,Need help updating my email address.,Account
41,"Hi, I want to delete my account permanently.",Account
42,Login throws an exception and I can't proceed.,Technical
43,"Hi, Can you add dark mode to the app? Please help.",Feature Request
44,"Hi, Add a tutorial for first-time users. Urgent.",Feature Request
45,"Hi, Would love integration with Google Drive. — customer",Feature Request
46,"Hello, Need help updating my email address. This is blocking me.",Account
47,"Hi, Can you add dark mode to the app? Please help.",Feature Request
48,Where can I find my billing statement? Thanks!,Billing
49,"Hi, Login throws an exception and I can't proceed.",Technical
50,"Hi, I was charged twice this month, please refund.",Billing
51,Where can I find my billing statement? Thanks!,Billing
52,"Dear support, Upload fails with an unknown error. Please help.",Technical
53,"Dear support, Login throws an exception and I can't proceed. Please help.",Technical
54,"Hi, Request: allow multiple users per team.",Feature Request
55,"Hello, I want a refund for the extra payment. This is blocking me.",Billing
56,Request: allow multiple users per team. — customer,Feature Request
57,"Dear support, I was charged twice this month, please refund. — customer",Billing
58,"Hi, I forgot my password and cannot login. Please help.",Account
59,"Dear support, Login throws an exception and I can't proceed. Please help.",Technical
60,"Hello, Would love integration with Google Drive. This is blocking me.",Feature Request
61,"Dear support, The app crashes when I upload a file. ASAP.",Technical
62,"I was charged twice this month, please refund.",Billing
63,"Dear support, I get an error code 500 when saving. This is blocking me.",Technical
